Id,SalePrice
1461,114323.038
1462,148452.95
1463,165386.76866666667
1464,181066.6
1465,201937.743
1466,180386.715
1467,171430.18921428573
1468,177217.765
1469,184654.123
1470,108672.0796547619
1471,183983.972
1472,90702.14761904761
1473,90226.9142857143
1474,159099.04
1475,144354.42766666668
1476,426500.913
1477,256967.1
1478,317738.651
1479,301513.93
1480,459114.875
1481,331503.529
1482,214227.36625
1483,176196.074
1484,176241.69875
1485,165661.79566666664
1486,210841.025
1487,352302.436
1488,254701.617
1489,204219.1615
1490,195638.823
1491,186697.90333333335
1492,103422.563
1493,190255.1666666667
1494,270404.914
1495,273914.228
1496,213267.15366666668
1497,194204.12666666668
1498,151864.76287142857
1499,151935.73750000005
1500,156441.73991825388
1501,173719.5
1502,147443.8188
1503,322914.307
1504,219439.115
1505,218456.558
1506,197875.74
1507,216002.748
1508,148356.827
1509,167236.7
1510,142375.548
1511,145766.66766666665
1512,165141.43096666667
1513,161135.402
1514,148348.4605
1515,194651.222
1516,143072.296
1517,149733.26
1518,131489.906
1519,222522.38780952382
1520,140128.25
1521,138744.22866666666
1522,166152.564
1523,112397.255
1524,105183.774
1525,117763.20000000001
1526,113036.983
1527,99617.29466666665
1528,126920.6895
1529,145187.0833333333
1530,162759.4
1531,104886.669
1532,104816.976
1533,136839.5
1534,126677.309
1535,150793.284
1536,108303.325
1537,69001.01894444443
1538,176704.276
1539,232849.743
1540,123631.969
1541,153920.75
1542,150642.405
1543,234909.769
1544,74391.28333333334
1545,89044.858
1546,121607.732
1547,118633.789
1548,122494.829
1549,93193.39166666668
1550,133329.692
1551,109599.77
1552,120571.645
1553,144076.652
1554,122157.615
1555,127404.932
1556,109505.186
1557,122673.847
1558,93286.329
1559,117705.026
1560,131146.864
1561,156704.42
1562,130964.249
1563,117654.27573809527
1564,161248.331
1565,143844.104
1566,208341.688
1567,72945.2
1568,207687.986
1569,140764.3453333333
1570,132910.47933333332
1571,136650.51386666668
1572,140777.021
1573,221968.6103333333
1574,155926.509
1575,197225.602
1576,191055.555
1577,203974.0595
1578,134621.48
1579,142296.70666666667
1580,177750.325
1581,144805.01266666665
1582,124536.55277777779
1583,353340.275
1584,239531.305
1585,139015.06309523815
1586,73186.05833333335
1587,119320.43166666669
1588,143920.041
1589,108344.35516666666
1590,143739.65833333335
1591,112885.79590476191
1592,124788.134
1593,107224.576
1594,172616.321
1595,150363.211
1596,229232.63
1597,171753.776
1598,195295.2396666667
1599,179140.0
1600,184616.956
1601,56825.842333333334
1602,109443.55233333334
1603,99969.00638095239
1604,274189.487
1605,240010.775
1606,168613.73566666665
1607,202652.689
1608,225496.90335714287
1609,202357.3745
1610,163196.67233333335
1611,152785.85166666668
1612,185467.9155
1613,167461.2235
1614,126963.88583333333
1615,83251.26635714286
1616,83251.26635714286
1617,83231.65266666666
1618,130224.9306190476
1619,122927.56666666667
1620,182327.37583333332
1621,123931.94074999998
1622,139878.72598095238
1623,283377.496
1624,192181.33
1625,111210.148
